JAN,商品名,Type,BodyAxis,SweetAxis
4935919319157,ペイ　ドック　マルスラン　セパージュ　ウーブリエ　No.7,Red,-0.7281896806969043,-1.6336515599136223
4935919319164,ペイ　ドック　アリカンテ　ブーシェ　セパージュ　ウーブリエ　No.5,Red,-1.414526268910117,-2.7070862319874993
4935919319171,ペイ　ドック　カベルネ　ソーヴィニヨン,Red,1.5282864400850869,-2.428201175034855
4935919319843,シャトー　ムーラン　クーレッシュ,Red,3.524496798423533,0.000562474312495932
4935919360012,カステロ　ダルバ　ドウロ　ブランコ,White,-2.760842628311035,-0.07202133276511956
4935919360036,カステロ　ダルバ　ドウロ　ティント,Red,0.6029641313667408,-1.6414297013310595
4935919360210,ベイラ　ティント,Red,3.591905246036766,0.6414781631799319
4935919360258,ベイラ　ブランコ,White,-3.033559319577972,-1.5726500806133665
4935919360289,アルトス　ダ　ベイラ　ブランコ,White,-5.459465656344745,-1.524899255961119
4935919940337,パッソ　デイ　カプリオーリ　トスカーナ　ロッソ,Red,2.5371275648567506,-0.4447944296638702
4935919940399,チェラズオーロ　ダブルッツォ　スペリオーレ,Rose,-1.4392374752987118,-0.04529651360529646
4935919940412,コルテーゼ　アルト　モンフェッラート　グラッフィティ,White,-4.806605215820074,-1.0077509634162276
4935919940610,カーザ　バリコーニ　サンジョヴェーゼ,Red,-1.6924989922091722,-0.5863322012351029
4935919940658,ファンティーニ　チェラズオーロ　ダブルッツオ,Rose,-6.276795961300558,-2.430415853618155
4935919961547,フェフェ　コンテ　トロザン　ブラン,White,-4.46855841547893,-0.6353069120265069
4935919961554,フェフェ　ヴァン　ド　フランス　ルージュ,Red,-1.6394956815786144,-1.9192034180527833
4935919961592,シャトー　レ　ヴァレー　ルージュ,Red,1.3200880674689914,-2.1494710590374595
4935919962865,ヴュー　シャトー　ルネサンス,Red,2.3164988053820883,-2.254176106835746
4935919980012,キシナウル　ヴェキ　スプマン　ブリュット,Spa,-1.362056009050135,2.1062407489953174
4935919980029,キシナウル　ヴェキ　スプマン　デミセック,Spa,7.120409525414039,13.183476637450575
4935919980043,ソーヴィニヨン　ブラン,White,-2.020965668401387,0.6581403528686852
4935919980050,リースリング　デ　ライン,White,-2.07011031638223,1.6818919710709435
4935919980067,シャルドネ,White,-5.868783308328268,-2.4053277122239693
4935919980098,カベルネ　ソーヴィニヨン,Red,-3.3015543125740487,-1.8247774868473279
4935919980135,インディヴィド　メルロ　カベルネ　ソーヴィニヨン,Red,2.0566215076231322,-1.0653694898328796
8410396780219,テンプラニーリョ　ドラゴン　ビノ　デ　ラ　ティエラ,Red,-0.9061154188120892,-1.7639265022151787
blendF,blendF,Rose,1.5349547549097255,1.7315209305521142
