jan_code,wine_type,temp_name,umap_x,umap_y,cluster
4935919072854,Red,エル　ビヒア　デ　ラ　アタラヤ　オーガニック,5.154123,5.632182,19
4935919073042,Rose,オノロ　ベラ　ロサド,1.6266332,8.851378,18
4935919072304,Red,オノロ　ベラ　フミーリャ　モナストレル,5.189494,5.1714387,1
4935919072311,Red,オノロ　ベラ　オーガニック,5.4449677,5.2289677,1
4935919080927,Red,メルロ　グラン　レセルバ,5.647454,5.2812023,1
4935919073028,Red,マナデーロ　コレクシオン　デ　パルセラス,5.867387,4.9427958,1
4935919071802,Red,パルデバジェス　ティント　プリエト　ピクード,5.7886806,4.8964214,1
4935919072946,Red,コモロコ　オーガニック　SO2無添加,6.0214105,5.6504774,17
4935919080668,Red,ドンナ　マリア　シラー　アパッシメント,6.3911686,5.612341,17
4935919080200,Red,エスピノ　カベルネ　ソーヴィニヨン,6.489453,5.6665077,17
4935919070768,Red,マルケス　デ　ラ　コンコルディア　リオハ　サンティアゴ,6.383511,5.536917,17
4935919050883,Red,ファンティーニ　サンジョヴェーゼ　テッレ　ディ　キエティ,5.876196,5.128212,1
4935919961592,Red,シャトー　レ　ヴァレー　ルージュ,6.324461,5.7772455,17
4935919193559,White,ユルツィガー　ヴュルツガルテン　リースリング　ファインヘルプ,-0.67184496,8.30277,10
4935919058513,Spa,ポルタ　モンティカーノ　ロゼ　エクストラ　ドライ,0.87435055,9.106077,5
4935919080118,Red,カベルネ　ソーヴィニヨン　グラン　レセルバ,6.37915,6.727052,11
4935919054980,White,ファンティーニ　ピノ　グリージョ,1.1914419,8.484966,18
4935919094306,White,ミュスカデ　セーヴル　エ　メーヌ,1.5350398,8.414599,6
4935919057967,White,ヴェルディッキオ　デイ　カステッリ　ディ　イエージ　クラッシコ,1.4745286,8.852921,18
4935919061360,Red,ライセス　マルベック,6.2826276,6.4429564,11
4935919053150,Red,ファンティーニ　プリミティーヴォ,5.954373,5.316763,1
4935919072847,Red,エル　ネン　デル　セラー,6.2896223,6.790402,11
4935919044714,Red,コート　デュ　ローヌ　ヴィエイユ　ヴィーニュ,6.417898,6.259504,11
4935919052504,White,ファレーリオ,0.636259,8.8151245,5
8410396780219,Red,テンプラニーリョ　ドラゴン　ビノ　デ　ラ　ティエラ,4.5460258,6.7012544,7
4935919055437,Red,チ　コルヴィーナ,3.9724944,6.430849,7
4935919360036,Red,カステロ　ダルバ　ドウロ　ティント,5.0888376,6.4629164,3
4935919070942,Spa,カバ　セレクション　エスペシャル　ブルット,0.55284333,8.650803,5
4935919050579,White,ファンティーニ　トレッビアーノ　ダブルッツォ,0.92925173,7.790711,6
4935919071079,Red,ナバエルス,4.101143,6.7856164,7
4935919055987,Red,モンテプルチャーノ　ダブルッツォ,5.512411,6.9975877,12
4935919319164,Red,ペイ　ドック　アリカンテ　ブーシェ　セパージュ　ウーブリエ　No.5,5.069134,7.017841,12
4935919055604,Spa,プライヴェート　キュヴェ　ブリュット,-0.3602648,8.124265,16
4935919098854,Red,エリタージュ,4.473542,6.729719,7
4935919056397,Red,コメ,3.993996,6.310681,7
4935919049924,Red,コート　デュ　ローヌ　ルージュ　ル　プティ　アンデゾン,5.397132,6.8285084,12
4935919312981,Red,ペイ　ドック　ピノ　ノワール　キュヴェ　ド　ブリュ,5.363254,6.88522,12
4935919310598,White,ペイ　ドック　シャルドネ,1.261305,8.153947,6
4935919961554,Red,フェフェ　ヴァン　ド　フランス　ルージュ,4.9733944,7.1089697,12
4935919312448,Red,ペイ　ドック　カベルネ　ソーヴィニヨン,5.1261535,6.9930406,12
4935919212915,Red,コトー　デュ　ポン　デュ　ガール　キュヴェ　デ　ガレ,5.2673397,6.861301,12
4935919219723,White,ペイ　ドック　ヴィオニエ,1.2597508,7.664924,2
4935919316392,Red,ヴァン　ド　ペイ　ド　メディテラネ　ルージュ　グルナッシュ,3.9412172,6.924515,7
4935919213578,Red,ペイ　ドック　メルロ,2.6324816,6.3451614,9
4935919312813,White,コート　ド　ガスコーニュ　ブラン,1.241843,8.063441,6
4935919056229,White,ザブ　グリッロ,1.3173215,7.4610653,2
4935919319140,White,ペイ　ドック　ソーヴィニヨン　ブラン,1.2553108,7.490516,2
4935919980012,Spa,キシナウル　ヴェキ　スプマン　ブリュット,0.030570636,8.75735,5
4935919980029,Spa,キシナウル　ヴェキ　スプマン　デミセック,-1.6981226,7.804248,20
4935919057950,White,イル　ビアンコ,1.0860306,8.900704,18
4935919080392,White,シャルドネ　レセルバ,1.38735,8.825863,18
4935919940412,White,コルテーゼ　アルト　モンフェッラート　グラッフィティ,1.3463349,8.1934185,6
4935919059473,White,デッレ　ヴェネツィエ　ピノ　グリージョ,1.6865777,8.341474,6
4935919059435,White,クストーツァ,0.8146513,6.992984,2
4935919360289,White,アルトス　ダ　ベイラ　ブランコ,1.275354,7.2880726,2
4935919980098,Red,カベルネ　ソーヴィニヨン,2.408857,6.3959646,9
4935919980067,White,シャルドネ,0.5532077,6.985761,2
4935919940610,Red,カーザ　バリコーニ　サンジョヴェーゼ,3.151642,6.2518263,9
4935919059459,Red,バルドリーノ,2.750048,6.182452,9
4935919940658,Rose,ファンティーニ　チェラズオーロ　ダブルッツオ,2.2461407,6.402809,9
4935919072663,White,エル　フィスゴン　ルエダ　ベルデホ,1.3943923,7.280952,2
4935919071048,Red,ノルテ,3.6944206,6.8292227,7
4935919072076,White,オノロ　ベラ　ルエダ,0.83442223,6.9972916,2
4935919071024,White,オルキデア,0.85426,6.8656826,2
4935919197175,Red,レッド　ヴィンヤード　ドルンフェルダー,-1.8808813,7.5963726,20
4935919198448,White,ミュラー　トゥルガウ　フォン　レス,-0.33897743,7.6334925,8
4935919073035,Red,ラ　ヴァディーナ,3.0352871,6.732839,9
4935919072472,Red,オノロ　ベラ　リオハ,3.0789437,6.5667324,9
4935919071598,Red,コモロコ,3.837754,6.8478,7
4935919080644,Red,ピノ　ノワール　レセルバ,2.4780176,6.432817,9
4935919072571,Red,ゴタ　デ　アレーナ,2.7823508,6.4899654,9
4935919319157,Red,ペイ　ドック　マルスラン　セパージュ　ウーブリエ　No.7,4.578748,6.562895,7
4935919072830,Spa,ドラゴン　カバ　グラン　トラディション　ブルット,0.033470903,8.659644,5
4935919046091,White,ペイ　ドック　シャルドネ　キュヴェ　ド　ブリュ,1.5540274,8.37163,6
4935919213813,Red,ペイ　ドック　ピノ　ノワール,4.234706,6.568955,7
4935919052726,White,ファンティーニ　シャルドネ,1.5384978,8.10588,6
